@N: MF248 |Running in 64-bit mode.
@N: MF666 |Clock conversion enabled 
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\leeinst04.vhdl":31:26:31:31|ROM outcode_1[2:0] mapped in logic.
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\leeinst04.vhdl":31:26:31:31|ROM outcode_1[2:0] mapped in logic.
@N: MO106 :"c:\users\gabriela\desktop\practicasg\binary-bcd\leeinst04.vhdl":31:26:31:31|Found ROM, 'outcode_1[2:0]', 16 words by 3 bits 
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":82:7:82:10|ROM outC_1[6:0] mapped in logic.
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":55:7:55:10|ROM outD_1[6:0] mapped in logic.
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":28:7:28:10|ROM outU_1[6:0] mapped in logic.
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":82:7:82:10|ROM outC_1[6:0] mapped in logic.
@N: MO106 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":82:7:82:10|Found ROM, 'outC_1[6:0]', 10 words by 7 bits 
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":55:7:55:10|ROM outD_1[6:0] mapped in logic.
@N: MO106 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":55:7:55:10|Found ROM, 'outD_1[6:0]', 10 words by 7 bits 
@N: FA239 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":28:7:28:10|ROM outU_1[6:0] mapped in logic.
@N: MO106 :"c:\users\gabriela\desktop\practicasg\binary-bcd\codernibbles04.vhdl":28:7:28:10|Found ROM, 'outU_1[6:0]', 10 words by 7 bits 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_11[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_9[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_8[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_7[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_6[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_5[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_4[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift12bit04.vhdl":23:6:23:7|Removing sequential instance outACss_cl_2[11] of view:PrimLib.dff(prim) in hierarchy view:work.shift12bit04(shift12bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift8bit04.vhdl":23:6:23:7|Removing sequential instance outACs_cl_4[7] of view:PrimLib.dff(prim) in hierarchy view:work.shift8bit04(shift8bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift8bit04.vhdl":23:6:23:7|Removing sequential instance outACs_cl_3[7] of view:PrimLib.dff(prim) in hierarchy view:work.shift8bit04(shift8bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\shift8bit04.vhdl":23:6:23:7|Removing sequential instance outACs_cl_2[7] of view:PrimLib.dff(prim) in hierarchy view:work.shift8bit04(shift8bit0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\init04.vhdl":26:6:26:7|Removing sequential instance outACA8init_1[4] of view:PrimLib.sdffse(prim) in hierarchy view:work.init04(init0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_11[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_9[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
@N: BN362 :"c:\users\gabriela\desktop\practicasg\binary-bcd\sust04.vhdl":26:5:26:6|Removing sequential instance U08.outAC12bitsu_cl_7[11] of view:PrimLib.dff(prim) in hierarchy view:work.topp04(topp0) because there are no references to its outputs 
